Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,State,Product_ID,Product_Name,Category,Quantity,Sales,Ship_ID,Ship_Mode
O0001,2011-01-06,2011-01-09,C001,Amit Sharma,Maharashtra,P001,Laptop,Electronics,2,1150,S002,Road
O0002,2011-01-07,2011-01-11,C002,Priya Patel,Gujarat,P002,Smartphone,Electronics,3,2400,S003,Express
O0025,2011-01-15,2011-01-27,C011,Suresh Kumar,Tamil Nadu,P002,Smartphone,Electronics,3,3872.37,S002,Express
O0037,2011-02-05,2011-02-09,C007,Rohan Mehta,Maharashtra,P005,Printer,Office Supplies,5,19872.81,S003,Air
O0003,2011-02-08,2011-02-13,C001,Amit Sharma,Maharashtra,P003,Office Chair,Furniture,4,4100,S004,Air
O0004,2011-02-09,2011-02-15,C002,Priya Patel,Gujarat,P004,Study Table,Furniture,5,6250,S005,Road
O0040,2011-02-18,2011-03-03,C009,Vikram Rao,Telangana,P008,Backpack,Accessories,1,3909.69,S002,Express
O0030,2011-02-21,2011-02-27,C002,Priya Patel,Gujarat,P007,Notebook Pack,Office Supplies,3,8447.51,S001,Express
O0043,2011-03-01,2011-03-06,C011,Suresh Kumar,Tamil Nadu,P006,Headphones,Electronics,4,3688.68,S001,Express
O0005,2011-03-10,2011-03-17,C001,Amit Sharma,Maharashtra,P005,Printer,Office Supplies,1,1475,S001,Express
O0006,2011-03-11,2011-03-19,C002,Priya Patel,Gujarat,P006,Headphones,Electronics,2,3400,S002,Air
O0045,2011-03-22,2011-03-28,C005,Arjun Singh,Punjab,P004,Study Table,Furniture,2,5084.72,S005,Air
O0007,2011-04-12,2011-04-21,C001,Amit Sharma,Maharashtra,P007,Notebook Pack,Office Supplies,3,5775,S003,Road
O0008,2011-04-13,2011-04-15,C002,Priya Patel,Gujarat,P008,Backpack,Accessories,4,8600,S004,Express
O0034,2011-04-20,2011-05-01,C006,Neha Gupta,Uttar Pradesh,P006,Headphones,Electronics,3,9698.21,S001,Express
O0009,2011-05-14,2011-05-17,C001,Amit Sharma,Maharashtra,P001,Laptop,Electronics,5,1750,S005,Air
O0010,2011-05-15,2011-05-19,C002,Priya Patel,Gujarat,P002,Smartphone,Electronics,1,575,S001,Road
O0029,2011-05-25,2011-05-28,C007,Rohan Mehta,Maharashtra,P006,Headphones,Electronics,2,8636.31,S003,Air
O0011,2011-06-16,2011-06-21,C001,Amit Sharma,Maharashtra,P003,Office Chair,Furniture,2,1600,S002,Express
